City ,City ID,Dark Store Code,Dark Store Type (Branch / Independent),Dark Store Name,Location,Lat,Long
JODHPUR,1216,DSIB0022,INDEPENDENT,DS JODHPUR STANDALONE,"GROUND FLOOR, PLOT NO. 37, AKHALIYA VIKASH YOJNA, BEHIND ICICI BANK, JODHPUR, RAJASTHAN-342003",26.278445,72.99008
BANGALORE,728,DSIB0006,INDEPENDENT,DS SARAKKI,"NO 1373, GROUND FLOOR, 9TH 'F' CROSS, 1ST PHASE, J. P. NAGARA, BENGALURU-560078",12.909408,77.34271
KANPUR,1455,DSIB0002,INDEPENDENT,DS KANPUR,"Shop No- 116/P1/764, Kakadeo, Shivpuri, Behind Kamleshram Guest House, Kanpur - 208025, Uttar Pradesh.",27.212932,78.004951
JALGAON,977,DSIB0025,INDEPENDENT,DS JALGAON STANDALONE,"PLOT NO. P-98., ADDITIONAL MIDC, JALGAON-425001",20.996998,75.586298
VASAI,994,DSIB0007,INDEPENDENT,DS VASAI,"GRISHMA CHSL, SHOP NO. 15&16, GROUND FLOOR, GRISHMA CHSL, AMBADI ROAD, EVERSHINE GATE, GOKHIVARE VILLAGE, VASAI EAST, PALGHAR-401208",19.399151,72.840017
KANPUR,1455,DSBU150,BRANCH,DS KANPUR CITY,"128/543/47- Block- K, Kidwai Nagar, Kanpur- 208011- UP",26.423418,80.324584
TIRUPATI,152,DSBV01,BRANCH,DS TIRUPATI,"PLOT NO 23&24, ANANTAPUR-TIRUPATI HIGHWAY, APIIC(INDUSTRIAL AREA-TIRUPATI), TIRUPATI, ANDHRA PRADESH-517520",13.6308852,79.4840983
BANGALORE,728,DSBB35,BRANCH,DS WHITEFIELD,"LAKSHMISAGAR LAYOUT, NEAR MTB SCHOOL, GARUDACHARPALYA, 560048, BANGALORE, KARNATAKA",12.989308,77.695614
DELHI,458,DSIB0004,INDEPENDENT,DS ROHINI,"GROUND FLOOR, KHASRA NO.33/14817, MAIN BAWANA ROAD, SAMAYPUR VILLAGE, BADLI, NEW DELHI 110042",28.743788,77.131375
DELHI,458,DSIB0005,INDEPENDENT,DS MEERABAGH,"GROUND FLOOR WITHOUT ROOF TERRACE, SHOP NO - W-166, GROUND FLOOR PVC MARKET, JAWALAPURI DELHI 110087",28.671466,77.079408
KOLKATA,1733,DSIB0010,INDEPENDENT,DS LAKE VIEW,"23 A, SARAT BANERJEE ROAD, KOLKATA, WEST BENGAL-700029",22.51467646,88.352375
INDORE,1054,DSBI42,BRANCH,DS INDORE CITY,"207/1 PATNIPURA, NANDA NAGAR, RAOD NO 12,NEAR JAIN MANDIR, INDORE-452001
",22.736601,75.877975
KOLHAPUR,1000,DSIB0011,INDEPENDENT,DS KOLHAPUR,"SHOP NO. 42 & 43, TRADE CENTRE,STATION ROAD, KOLHAPUR-416005",16.704384,74.239187
